Year,Cons_pc_Beer,Cons_pc_Wine,Cons_pc_Spirits,Cons_pc_Alkohol,Exp_pc_Beer ,Exp_pc_Wine ,Exp_pc_Spirits ,Exp_pc_Alkohol ,Exp_pc_Total ,Exp_pc_Residual ,Prices_Beer,Prices_Wine,Prices_Spirits,Prices_Alcohol,CPI_Beer,CPI_Wine,CPI_Spirits,CPI_Alcohol,CPI_AllGoods,Population ('000),Real GDPPC,Cond_Bugdget_Shares_Beer,Cond_Bugdget_Shares_Wine,Cond_Bugdget_Shares_Spirits,Uncond_Bugdget_Shares_Beer,Uncond_Bugdget_Shares_Wine,Uncond_Bugdget_Shares_Spirits,Uncond_Bugdget_Shares_Alcohol,Volume_Shares_Beer,Volume_Shares_Wine,Volume_Shares_Spirits,Exchange_Rate,Expenditure_pc_USD_Beer ,Expenditure_pc_USD_Wine ,Expenditure_pc_USD_Spirits ,Expenditure_pc_USD_Alcohol ,Expenditure_pc_USD_Total ,Expenditure_pc_USD_Residuals ,Price_USD_Beer,Price_USD_Wine,Price_USD_Spirits,Price_USD_Alcohol,Country
1970,6.13,1.67,1.06,8.86,66.22,23.98,15.54,105.74,1560.56,1454.83,10.80,14.32,14.70,12.31,7.04,17.36,6.85,0.00,8.86,12660.16,12023.54,0.63,0.23,0.15,0.04,0.02,0.01,0.07,0.69,0.19,0.12,0.90,73.74,26.70,17.31,117.75,1737.82,1620.08,12.03,15.95,16.37,13.71,Australia
1971,6.15,1.35,1.10,8.60,70.16,20.47,16.18,106.81,1681.89,1575.09,11.40,15.20,14.75,12.75,7.43,18.42,6.88,0.00,9.40,12937.20,12289.52,0.66,0.19,0.15,0.04,0.01,0.01,0.06,0.72,0.16,0.13,0.88,79.72,23.26,18.39,121.37,1911.24,1789.87,12.95,17.27,16.76,14.48,Australia
1972,6.30,1.55,1.24,9.10,75.59,23.50,18.51,117.59,1828.79,1711.20,12.00,15.12,14.88,13.23,7.83,18.33,6.93,9.01,9.97,13177.00,12404.42,0.64,0.20,0.16,0.04,0.01,0.01,0.06,0.69,0.17,0.14,0.84,90.09,28.01,22.06,140.16,2179.73,2039.57,14.30,18.02,17.73,15.76,Australia
1973,6.87,1.61,1.26,9.74,89.31,24.94,23.03,137.27,2007.49,1870.21,13.00,15.52,18.23,14.36,8.48,18.81,8.50,9.76,10.87,13380.40,12878.09,0.65,0.18,0.17,0.04,0.01,0.01,0.07,0.71,0.16,0.13,0.71,126.68,35.37,32.66,194.71,2847.50,2652.79,18.44,22.01,25.85,20.37,Australia
1974,7.00,1.77,1.21,9.98,103.54,31.91,27.84,163.30,2352.21,2188.92,14.80,18.00,22.98,16.67,9.65,21.82,10.71,10.98,12.55,13599.10,12985.12,0.63,0.20,0.17,0.04,0.01,0.01,0.07,0.70,0.18,0.12,0.70,148.99,45.92,40.06,234.96,3384.48,3149.52,21.29,25.90,33.06,23.99,Australia
1975,6.83,2.25,1.17,10.25,127.10,48.75,30.25,206.09,2862.96,2656.87,18.60,21.68,25.90,20.53,12.13,26.28,12.07,12.20,14.45,13771.40,13169.83,0.62,0.24,0.15,0.04,0.02,0.01,0.07,0.67,0.22,0.11,0.77,166.14,63.72,39.54,269.40,3742.43,3473.04,24.31,28.34,33.86,26.83,Australia
1976,6.83,2.10,1.28,10.22,139.36,49.27,34.51,223.14,3307.97,3084.82,20.40,23.44,26.93,22.24,13.30,28.41,12.55,15.20,16.38,13915.50,13558.84,0.62,0.22,0.15,0.04,0.01,0.01,0.07,0.67,0.21,0.13,0.82,170.16,60.16,42.14,272.46,4039.03,3766.57,24.91,28.62,32.88,27.16,Australia
1977,6.85,2.23,1.34,10.42,146.66,55.46,37.26,239.37,3839.68,3600.30,21.40,24.88,27.78,23.28,13.96,30.16,12.95,15.85,18.39,14074.10,13546.37,0.61,0.23,0.16,0.04,0.01,0.01,0.06,0.66,0.21,0.13,0.90,162.60,61.48,41.30,265.38,4256.85,3991.47,23.73,27.58,30.79,25.81,Australia
1978,6.64,1.95,1.09,9.67,164.64,50.82,40.35,255.82,4225.75,3969.93,24.80,26.08,37.18,26.66,16.17,31.61,17.33,16.60,19.86,14248.60,13768.65,0.64,0.20,0.16,0.04,0.01,0.01,0.06,0.69,0.20,0.11,0.87,188.38,58.15,46.17,292.70,4834.95,4542.26,28.38,29.84,42.53,30.50,Australia
1979,6.71,2.30,1.03,10.03,179.73,61.96,42.35,284.03,4622.62,4338.59,26.80,26.96,41.28,28.51,17.48,32.68,19.24,19.98,21.68,14421.90,14319.54,0.63,0.22,0.15,0.04,0.01,0.01,0.06,0.67,0.23,0.10,0.90,200.81,69.23,47.32,317.35,5164.94,4847.59,29.94,30.12,46.12,31.85,Australia
1980,6.59,2.61,1.12,10.32,192.49,75.05,48.07,315.61,5106.22,4790.61,29.20,28.80,42.88,30.69,19.04,34.91,19.99,21.39,23.87,14615.90,14411.84,0.61,0.24,0.15,0.04,0.01,0.01,0.06,0.64,0.25,0.11,0.88,219.49,85.58,54.81,359.88,5822.37,5462.49,33.30,32.84,48.89,35.00,Australia
1981,6.59,2.23,1.19,10.01,212.30,68.37,55.06,335.73,5675.10,5339.37,32.20,30.64,46.30,33.58,21.00,37.14,21.58,23.26,26.14,14923.26,14660.34,0.63,0.20,0.16,0.04,0.01,0.01,0.06,0.66,0.22,0.12,0.87,244.03,78.58,63.29,385.90,6523.10,6137.20,37.01,35.22,53.22,38.59,Australia
1982,6.24,2.35,1.20,9.79,229.79,78.12,60.34,368.25,6454.82,6086.57,36.80,33.28,50.20,37.63,24.00,40.34,23.40,25.89,29.10,15162.00,14411.82,0.62,0.21,0.16,0.04,0.01,0.01,0.06,0.64,0.24,0.12,0.98,233.53,79.39,61.32,374.24,6559.78,6185.54,37.40,33.82,51.02,38.24,Australia
1983,6.03,2.07,1.14,9.24,242.33,73.97,61.74,378.04,7235.99,6857.95,40.20,35.76,53.93,40.87,26.21,43.35,25.14,28.05,32.03,15348.00,14238.92,0.64,0.20,0.16,0.03,0.01,0.01,0.05,0.65,0.22,0.12,1.11,218.51,66.70,55.67,340.89,6524.79,6183.90,36.25,32.25,48.62,36.86,Australia
1984,5.85,2.61,1.22,9.69,255.10,99.96,70.47,425.53,7782.21,7356.68,43.60,38.24,57.53,43.83,28.43,46.35,26.82,30.96,33.29,15510.00,15062.41,0.60,0.23,0.17,0.03,0.01,0.01,0.05,0.60,0.27,0.13,1.14,224.36,87.91,61.98,374.25,6844.51,6470.25,38.35,33.63,50.59,38.55,Australia
1985,5.91,2.31,1.30,9.51,280.05,90.58,81.92,452.56,8229.82,7777.26,47.40,39.28,63.05,47.37,30.91,47.61,29.39,33.21,35.54,15695.00,15638.36,0.62,0.20,0.18,0.03,0.01,0.01,0.05,0.62,0.24,0.14,1.43,196.11,63.43,57.37,316.92,5763.18,5446.26,33.19,27.51,44.15,33.17,Australia
1986,5.66,2.63,1.20,9.50,295.68,111.80,83.78,491.26,9189.87,8698.61,52.20,42.48,69.63,51.42,34.04,51.49,32.46,36.12,38.75,15900.00,15757.17,0.60,0.23,0.17,0.03,0.01,0.01,0.05,0.60,0.28,0.13,1.49,198.44,75.03,56.23,329.71,6167.70,5838.00,35.03,28.51,46.73,34.51,Australia
1987,5.77,2.15,1.27,9.20,329.17,97.17,96.46,522.80,10037.99,9515.19,57.00,45.12,75.93,56.60,37.17,54.69,35.39,39.77,42.06,16137.00,16293.30,0.63,0.19,0.18,0.03,0.01,0.01,0.05,0.63,0.23,0.14,1.43,230.83,68.14,67.64,366.62,7039.26,6672.64,39.97,31.64,53.24,39.69,Australia
1988,5.90,2.49,1.32,9.71,342.09,121.21,108.52,571.82,10929.57,10357.75,58.00,48.64,82.48,58.56,37.82,58.96,38.45,42.31,45.09,16400.00,16752.26,0.60,0.21,0.19,0.03,0.01,0.01,0.05,0.61,0.26,0.14,1.28,268.30,95.07,85.12,448.49,8572.21,8123.73,45.49,38.15,64.69,45.93,Australia
1989,5.82,2.46,1.31,9.59,358.68,124.68,117.90,601.27,12007.31,11406.05,61.60,50.72,90.28,62.45,40.17,61.48,42.08,44.28,48.49,16681.00,17194.41,0.60,0.21,0.20,0.03,0.01,0.01,0.05,0.61,0.26,0.14,1.26,283.99,98.72,93.35,476.06,9506.98,9030.92,48.77,40.16,71.48,49.44,Australia
1990,5.52,2.32,0.92,8.76,368.75,118.52,91.84,579.11,13128.04,12548.92,66.80,51.12,99.83,65.96,43.56,61.96,46.54,47.28,52.05,16956.00,17172.68,0.64,0.20,0.16,0.03,0.01,0.01,0.04,0.63,0.26,0.11,1.28,287.86,92.52,71.70,452.08,10248.27,9796.19,52.15,39.91,77.93,51.49,Australia
1991,5.20,1.92,0.88,7.99,358.70,100.93,92.70,552.33,13787.18,13234.84,69.00,52.56,105.88,68.99,45.00,63.71,49.36,50.00,53.70,17202.00,16743.32,0.65,0.18,0.17,0.03,0.01,0.01,0.04,0.65,0.24,0.11,1.28,279.37,78.60,72.20,430.16,10737.68,10307.51,53.74,40.93,82.46,53.73,Australia
1992,4.97,2.25,0.92,8.13,352.89,120.30,98.58,571.77,14314.43,13742.65,71.00,53.52,107.65,70.21,46.30,64.87,50.18,51.22,54.24,17419.00,16988.87,0.62,0.21,0.17,0.02,0.01,0.01,0.04,0.61,0.28,0.11,1.36,259.48,88.45,72.49,420.42,10525.31,10104.89,52.21,39.35,79.15,51.63,Australia
1993,4.29,2.28,1.16,7.73,314.98,127.46,128.04,570.48,14697.64,14127.16,73.40,55.92,110.48,73.94,47.86,67.78,51.50,52.91,55.20,17608.00,17478.19,0.55,0.22,0.22,0.02,0.01,0.01,0.04,0.56,0.29,0.15,1.47,214.13,86.65,87.04,387.82,9991.60,9603.78,49.90,38.01,75.10,50.26,Australia
1994,4.28,2.34,1.36,7.98,323.47,137.71,154.79,615.97,15174.68,14558.71,75.60,58.80,114.18,77.41,49.30,71.27,53.23,54.78,56.28,17781.00,18145.57,0.53,0.22,0.25,0.02,0.01,0.01,0.04,0.54,0.29,0.17,1.37,236.63,100.74,113.23,450.60,11100.72,10650.12,55.30,43.01,83.52,56.63,Australia
1995,4.23,2.52,1.28,8.03,337.55,156.05,150.05,643.65,16025.31,15381.67,79.80,61.84,117.30,80.46,52.04,74.96,54.68,56.94,58.89,17976.00,18529.56,0.52,0.24,0.23,0.02,0.01,0.01,0.04,0.53,0.31,0.16,1.35,250.03,115.59,111.15,476.77,11870.60,11393.83,59.11,45.81,86.89,59.60,Australia
1996,4.18,2.40,1.34,7.91,342.74,150.97,162.35,656.05,16814.95,16158.89,82.00,62.96,121.55,83.37,53.47,76.32,56.66,59.38,60.43,18195.00,19075.08,0.52,0.23,0.25,0.02,0.01,0.01,0.04,0.53,0.30,0.17,1.28,268.39,118.22,127.13,513.75,13167.54,12653.79,64.21,49.30,95.18,65.29,Australia
1997,4.12,2.61,1.42,8.16,340.64,170.15,172.58,683.37,17348.25,16664.88,82.60,65.20,121.15,84.24,53.86,79.03,56.48,59.94,60.56,18415.00,19612.09,0.50,0.25,0.25,0.02,0.01,0.01,0.04,0.51,0.32,0.17,1.35,253.26,126.51,128.31,508.08,12898.33,12390.25,61.41,48.48,90.07,62.63,Australia
1998,4.06,2.84,1.40,8.29,340.35,187.21,172.15,699.71,18275.93,17576.22,83.80,66.00,123.33,85.11,54.65,80.00,57.49,60.79,61.08,18621.00,20377.95,0.49,0.27,0.25,0.02,0.01,0.01,0.04,0.49,0.34,0.17,1.59,214.06,117.74,108.27,440.07,11494.29,11054.23,52.70,41.51,77.56,53.53,Australia
1999,4.00,2.70,1.49,8.19,341.39,179.50,185.33,706.23,19211.52,18505.30,85.38,66.39,124.75,87.04,55.68,80.48,58.16,61.44,61.99,18830.00,20970.89,0.48,0.25,0.26,0.02,0.01,0.01,0.04,0.49,0.33,0.18,1.55,220.34,115.85,119.61,455.81,12399.33,11943.52,55.11,42.85,80.52,56.18,Australia
2000,4.01,2.85,1.64,8.50,369.79,196.42,215.01,781.22,20137.67,19356.45,92.14,68.99,131.22,92.80,60.08,83.62,61.17,65.57,64.75,19053.00,21377.82,0.47,0.25,0.28,0.02,0.01,0.01,0.04,0.47,0.33,0.19,1.72,214.39,113.88,124.66,452.93,11675.18,11222.25,53.42,40.00,76.08,53.80,Australia
2001,3.24,3.35,1.44,8.03,308.01,240.37,195.38,743.75,21468.02,20724.27,95.10,71.66,135.98,93.72,62.02,86.86,63.39,68.20,67.61,19294.00,21662.03,0.41,0.32,0.26,0.01,0.01,0.01,0.03,0.40,0.42,0.18,1.93,159.31,124.32,101.05,384.68,11103.52,10718.85,49.19,37.06,70.33,48.48,Australia
2002,3.96,3.68,1.48,9.12,385.22,265.04,205.21,855.47,22633.29,21777.82,97.38,72.05,138.60,94.71,63.50,87.34,64.61,69.61,69.62,19345.00,22236.94,0.45,0.31,0.24,0.02,0.01,0.01,0.04,0.43,0.40,0.16,1.84,209.30,144.00,111.49,464.79,12296.95,11832.16,52.91,39.15,75.31,51.46,Australia
2003,3.96,3.37,1.60,8.94,410.78,246.19,228.75,885.72,23775.38,22889.66,103.77,72.99,142.60,100.53,67.67,88.47,66.48,72.05,71.53,19767.00,22666.28,0.46,0.28,0.26,0.02,0.01,0.01,0.04,0.44,0.38,0.18,1.54,266.47,159.71,148.39,574.57,15423.19,14848.62,67.32,47.35,92.50,65.21,Australia
2004,3.65,3.54,0.96,8.15,394.20,265.17,141.14,800.51,25044.15,24243.64,108.07,74.84,147.37,100.11,70.48,90.72,68.70,74.39,73.20,20046.00,23322.01,0.49,0.33,0.18,0.02,0.01,0.01,0.03,0.45,0.43,0.12,1.36,290.02,195.09,103.84,588.94,18425.07,17836.13,79.51,55.06,108.42,73.65,Australia
2005,3.69,3.54,0.97,8.20,414.81,266.63,145.38,826.82,26265.16,25438.35,112.38,75.23,150.38,102.81,73.28,91.19,70.10,76.74,75.17,20312.00,23764.61,0.50,0.32,0.18,0.02,0.01,0.01,0.03,0.45,0.43,0.12,1.31,315.98,203.11,110.74,629.82,20007.15,19377.33,85.60,57.31,114.55,78.31,Australia
2006,3.70,4.02,0.93,8.64,433.57,301.26,145.71,880.55,27484.73,26604.18,117.22,75.00,157.23,104.16,76.44,90.91,73.30,78.61,77.84,20628.00,24097.57,0.49,0.34,0.17,0.02,0.01,0.01,0.03,0.43,0.46,0.11,1.33,326.51,226.87,109.73,663.11,20697.76,20034.65,88.27,56.48,118.41,78.44,Australia
2007,3.68,3.09,0.91,7.69,453.95,233.48,149.26,836.70,29230.71,28394.02,123.24,75.62,163.15,111.07,80.36,91.67,76.05,80.96,79.66,21026.00,24911.58,0.54,0.28,0.18,0.02,0.01,0.01,0.03,0.48,0.40,0.12,1.20,379.81,195.35,124.89,700.06,24457.11,23757.05,103.11,63.27,136.50,92.93,Australia
2008,3.70,2.87,0.94,7.52,477.42,223.07,172.09,872.57,30910.97,30038.40,128.86,77.70,183.07,118.51,84.03,94.18,85.34,85.93,83.12,21476.00,25218.30,0.55,0.26,0.20,0.02,0.01,0.01,0.03,0.49,0.38,0.13,1.20,398.68,186.28,143.71,728.66,25812.91,25084.24,107.61,64.89,152.87,98.96,Australia
2009,3.68,2.81,1.04,7.52,497.88,218.00,199.01,914.89,31353.65,30438.76,135.27,77.70,191.70,124.21,88.21,94.18,89.37,88.93,84.59,21866.00,25255.64,0.54,0.24,0.22,0.02,0.01,0.01,0.03,0.49,0.37,0.14,1.28,388.32,170.03,155.21,713.56,24453.80,23740.24,105.50,60.60,149.52,96.88,Australia
2010,3.63,3.36,1.05,8.03,508.05,264.15,204.69,976.88,32428.33,31451.45,139.97,78.64,195.64,124.45,91.28,95.32,91.20,91.74,87.06,22172.00,25584.49,0.52,0.27,0.21,0.02,0.01,0.01,0.03,0.45,0.42,0.13,1.09,466.02,242.30,187.75,896.08,29745.97,28849.89,128.39,72.13,179.46,114.15,Australia
2011,3.46,2.93,1.08,7.47,491.70,230.28,215.35,937.33,33820.52,32883.18,141.94,78.72,199.96,128.39,92.56,95.42,93.22,92.59,89.94,22520.00,25625.46,0.52,0.25,0.23,0.01,0.01,0.01,0.03,0.46,0.39,0.14,0.97,507.33,237.61,222.20,967.13,34895.71,33928.58,146.46,81.22,206.32,132.47,Australia
2012,3.33,3.12,1.01,7.47,485.50,250.31,207.94,943.75,34954.10,34010.36,145.84,80.11,205.24,129.38,95.10,97.11,95.68,95.68,91.52,22921.00,26091.76,0.51,0.27,0.22,0.01,0.01,0.01,0.03,0.45,0.42,0.14,0.97,502.60,259.13,215.27,977.00,36185.68,35208.68,150.98,82.94,212.47,133.93,Australia
2013,3.26,2.86,1.04,7.16,485.80,235.81,222.21,943.82,35893.93,34950.11,149.05,82.34,213.52,131.75,97.20,99.81,99.54,97.09,93.77,23286.00,26309.45,0.51,0.25,0.24,0.01,0.01,0.01,0.03,0.45,0.40,0.15,1.04,468.74,227.53,214.41,910.67,34633.10,33722.43,143.81,79.45,206.02,127.12,Australia
2014,3.26,2.81,1.00,7.07,500.04,231.88,214.56,946.48,37193.57,36247.09,153.35,82.50,214.51,133.84,100.00,100.00,100.00,100.00,100.00,23614.00,26592.57,0.53,0.24,0.23,0.01,0.01,0.01,0.03,0.46,0.40,0.14,1.11,450.89,209.09,193.47,853.45,33537.94,32684.48,138.28,74.39,193.43,120.69,Australia
1970,1.92,6.75,2.29,10.96,80.92,455.54,181.32,717.78,2148.34,1430.57,42.16,67.49,79.07,65.48,36.34,53.09,56.31,0.00,23.32,7467.09,9747.44,0.11,0.63,0.25,0.04,0.21,0.08,0.33,0.18,0.62,0.21,1.89,42.82,241.09,95.96,379.88,1136.99,757.12,22.31,35.72,41.85,34.65,Austria
1971,1.79,6.59,2.50,10.88,77.89,443.44,197.17,718.50,2396.21,1677.71,43.63,67.26,78.94,66.06,39.84,52.73,56.13,0.00,24.42,7500.48,10200.14,0.11,0.62,0.27,0.03,0.19,0.08,0.30,0.16,0.61,0.23,1.82,42.90,244.22,108.59,395.70,1319.67,923.97,24.03,37.04,43.47,36.38,Austria
1972,1.80,7.37,2.60,11.77,76.18,456.64,211.52,744.33,2691.10,1946.76,42.28,61.99,81.29,63.24,36.51,43.92,59.12,0.00,25.97,7544.20,10770.66,0.10,0.61,0.28,0.03,0.17,0.08,0.28,0.15,0.63,0.22,1.68,45.35,271.83,125.91,443.09,1601.98,1158.89,25.17,36.90,48.39,37.64,Austria
1973,2.13,8.25,2.60,12.98,88.78,513.36,211.30,813.44,3005.54,2192.10,41.68,62.20,81.29,62.65,35.02,44.28,59.12,0.00,27.93,7586.12,11234.60,0.11,0.63,0.26,0.03,0.17,0.07,0.27,0.16,0.64,0.20,1.42,62.39,360.78,148.50,571.67,2112.21,1540.55,29.29,43.71,57.13,44.03,Austria
1974,2.21,8.48,2.61,13.30,98.46,537.48,211.79,847.72,3399.73,2552.01,44.46,63.37,81.29,63.73,41.50,46.18,59.12,0.00,30.59,7599.04,11657.79,0.12,0.63,0.25,0.03,0.16,0.06,0.25,0.17,0.64,0.20,1.36,72.48,395.66,155.90,624.04,2502.68,1878.64,32.73,46.65,59.84,46.91,Austria
1975,2.36,8.38,2.71,13.45,108.73,546.91,217.85,873.49,3796.95,2923.46,46.09,65.24,80.47,64.95,45.18,49.16,58.07,0.00,33.17,7578.90,11646.41,0.12,0.63,0.25,0.03,0.14,0.06,0.23,0.18,0.62,0.20,1.27,85.90,432.10,172.11,690.11,2999.82,2309.71,36.42,51.54,63.57,51.31,Austria
1976,2.40,7.84,2.81,13.05,113.75,508.90,226.38,849.02,4236.65,3387.62,47.37,64.94,80.60,65.08,47.98,48.68,58.24,0.00,35.60,7565.53,12201.00,0.13,0.60,0.27,0.03,0.12,0.05,0.20,0.18,0.60,0.22,1.30,87.25,390.34,173.64,651.23,3249.64,2598.41,36.34,49.81,61.83,49.92,Austria
1977,2.36,7.19,2.91,12.46,110.60,463.30,230.31,804.20,4753.60,3949.39,46.90,64.42,79.06,64.53,46.93,47.85,56.22,0.00,37.55,7568.43,12766.72,0.14,0.58,0.29,0.02,0.10,0.05,0.17,0.19,0.58,0.23,1.20,92.08,385.74,191.75,669.58,3957.84,3288.26,39.05,53.64,65.82,53.73,Austria
1978,2.62,7.76,3.02,13.40,125.11,495.76,245.28,866.15,4868.50,4002.35,47.66,63.91,81.20,64.62,48.59,47.02,58.95,0.00,38.89,7562.31,12730.64,0.14,0.57,0.28,0.03,0.10,0.05,0.18,0.20,0.58,0.23,1.06,118.55,469.77,232.42,820.74,4613.25,3792.51,45.16,60.56,76.94,61.24,Austria
1979,2.71,7.21,3.12,13.05,130.22,447.11,254.95,832.28,5315.37,4483.09,48.03,61.99,81.61,63.78,49.38,43.80,59.47,0.00,40.33,7549.43,13448.04,0.16,0.54,0.31,0.02,0.08,0.05,0.16,0.21,0.55,0.24,0.97,134.05,460.25,262.44,856.74,5471.57,4614.83,49.44,63.81,84.01,65.66,Austria
1980,2.70,7.18,3.23,13.10,133.45,443.93,265.40,842.78,5779.65,4936.87,49.49,61.84,82.17,64.31,52.44,43.56,60.18,0.00,42.88,7549.43,13759.18,0.16,0.53,0.31,0.02,0.08,0.05,0.15,0.21,0.55,0.25,0.94,141.94,472.14,282.26,896.34,6146.98,5250.64,52.64,65.77,87.39,68.40,Austria
1981,2.78,6.54,3.23,12.54,140.10,420.36,266.59,827.05,6255.67,5428.62,50.43,64.28,82.66,65.94,54.37,47.49,60.79,0.00,45.80,7564.63,13717.92,0.17,0.51,0.32,0.02,0.07,0.04,0.13,0.22,0.52,0.26,1.16,121.04,363.18,230.32,714.55,5404.71,4690.16,43.57,55.54,71.42,56.97,Austria
1982,2.86,6.30,3.01,12.17,148.93,430.44,252.07,831.45,6736.01,5904.57,52.15,68.36,83.66,68.35,57.79,53.68,62.02,0.00,48.29,7574.61,13961.11,0.18,0.52,0.30,0.02,0.06,0.04,0.12,0.23,0.52,0.25,1.24,120.13,347.20,203.33,670.66,5433.39,4762.73,42.06,55.14,67.48,55.13,Austria
1983,2.93,6.28,3.00,12.21,155.76,394.45,252.18,802.38,7350.96,6548.58,53.18,62.81,83.94,65.70,59.80,44.52,62.38,0.00,49.90,7552.90,14393.95,0.19,0.49,0.31,0.02,0.05,0.03,0.11,0.24,0.51,0.25,1.31,119.31,302.16,193.17,614.64,5631.00,5016.36,40.74,48.11,64.30,50.33,Austria
1984,2.94,5.28,2.80,11.02,160.15,317.93,235.88,713.96,7573.16,6859.20,54.42,60.25,84.30,64.80,62.16,40.11,62.82,0.00,52.73,7554.13,14439.38,0.22,0.45,0.33,0.02,0.04,0.03,0.09,0.27,0.48,0.25,1.45,110.14,218.64,162.22,490.99,5208.08,4717.09,37.43,41.43,57.97,44.56,Austria
1985,3.04,5.26,2.79,11.09,168.22,351.34,236.68,756.24,7974.02,7217.78,55.31,66.85,84.88,68.22,63.83,50.35,63.52,0.00,54.41,7559.78,14752.42,0.22,0.46,0.31,0.02,0.04,0.03,0.09,0.27,0.47,0.25,1.50,111.88,233.67,157.41,502.97,5303.41,4800.44,36.79,44.46,56.45,45.37,Austria
1986,3.08,5.14,2.88,11.11,173.09,403.45,246.19,822.73,8272.18,7449.45,56.12,78.48,85.38,74.06,65.32,65.70,64.14,0.00,55.34,7568.24,15080.78,0.21,0.49,0.30,0.02,0.05,0.03,0.10,0.28,0.46,0.26,1.11,156.00,363.63,221.89,741.53,7455.73,6714.21,50.58,70.74,76.96,66.75,Austria
1987,3.32,5.03,2.88,11.23,186.35,383.58,246.41,816.34,8559.83,7743.50,56.12,76.29,85.43,72.68,65.32,62.73,64.20,0.00,56.11,7578.90,15312.64,0.23,0.47,0.30,0.02,0.04,0.03,0.10,0.30,0.45,0.26,0.92,202.83,417.50,268.19,888.51,9316.66,8428.14,61.08,83.04,92.99,79.10,Austria
1988,3.41,4.43,2.78,10.63,190.61,342.81,236.15,769.56,8871.85,8102.29,55.88,77.34,84.88,72.42,64.88,64.13,63.52,0.00,57.20,7599.79,15754.38,0.25,0.45,0.31,0.02,0.04,0.03,0.09,0.32,0.42,0.26,0.90,212.41,382.02,263.16,857.60,9886.83,9029.23,62.28,86.18,94.59,80.71,Austria
1989,3.53,4.23,2.77,10.53,197.30,317.66,235.14,750.09,9401.08,8650.99,55.93,75.18,84.75,71.25,64.97,61.15,63.36,0.00,58.66,7627.86,16359.89,0.26,0.42,0.31,0.02,0.03,0.03,0.08,0.34,0.40,0.26,0.96,205.20,330.37,244.55,780.12,9777.41,8997.29,58.17,78.19,88.14,74.10,Austria
1990,3.57,4.08,2.68,10.33,199.89,303.09,225.50,728.48,9968.08,9239.60,56.02,74.29,84.14,70.54,65.14,59.91,62.61,0.00,60.58,7722.95,16894.58,0.27,0.42,0.31,0.02,0.03,0.02,0.07,0.35,0.40,0.26,0.83,241.92,366.81,272.91,881.64,12063.84,11182.20,67.80,89.91,101.83,85.37,Austria
1991,3.54,4.09,2.69,10.32,203.19,311.00,229.93,744.12,10462.09,9717.97,57.38,76.05,85.34,72.07,67.59,62.31,64.07,0.00,62.60,7818.42,17262.63,0.27,0.42,0.31,0.02,0.03,0.02,0.07,0.34,0.40,0.26,0.85,239.47,366.52,270.98,876.96,12329.78,11452.82,67.63,89.62,100.58,84.94,Austria
1992,3.51,3.65,2.69,9.86,215.33,282.39,256.59,754.32,11054.80,10300.48,61.26,77.30,95.28,76.49,74.16,63.99,74.88,0.00,65.12,7914.97,17409.04,0.29,0.37,0.34,0.02,0.03,0.02,0.07,0.36,0.37,0.27,0.80,269.63,353.60,321.30,944.52,13842.28,12897.76,76.71,96.79,119.30,95.78,Austria
1993,3.28,3.74,2.49,9.52,208.50,288.79,251.95,749.24,11298.61,10549.37,63.52,77.17,100.99,78.71,77.84,63.82,80.74,0.00,67.48,7988.60,17339.45,0.28,0.39,0.34,0.02,0.03,0.02,0.07,0.34,0.39,0.26,0.85,246.65,341.63,298.04,886.32,13365.71,12479.39,75.14,91.29,119.47,93.11,Austria
1994,3.30,3.53,2.50,9.33,214.54,279.21,254.34,748.10,11734.34,10986.25,65.00,79.05,101.81,80.17,80.20,66.27,81.57,0.00,69.48,8027.54,17669.84,0.29,0.37,0.34,0.02,0.02,0.02,0.06,0.35,0.38,0.27,0.83,258.46,336.38,306.42,901.26,14136.81,13235.55,78.31,95.23,122.66,96.59,Austria
1995,3.32,3.36,2.49,9.17,213.36,261.89,252.70,727.94,12067.67,11339.73,64.19,78.01,101.45,79.37,78.89,64.89,81.20,0.00,71.04,8047.43,18096.43,0.29,0.36,0.35,0.02,0.02,0.02,0.06,0.36,0.37,0.27,0.73,291.21,357.45,344.91,993.57,16471.24,15477.67,87.61,106.47,138.47,108.33,Austria
1996,3.29,3.33,2.40,9.02,215.55,262.32,245.49,723.36,12577.39,11854.03,65.46,78.86,102.44,80.23,80.90,66.01,82.21,77.23,72.35,8060.85,18511.93,0.30,0.36,0.34,0.02,0.02,0.02,0.06,0.37,0.37,0.27,0.77,280.17,340.96,319.08,940.21,16347.96,15407.75,85.08,102.50,133.15,104.29,Austria
1997,3.33,3.85,2.59,9.77,217.27,304.32,241.93,763.51,12820.49,12056.97,65.29,79.05,93.24,78.13,80.64,66.26,71.98,77.35,73.20,8069.88,18918.16,0.28,0.40,0.32,0.02,0.02,0.02,0.06,0.34,0.39,0.27,0.89,244.97,343.12,272.77,860.86,14455.12,13594.26,73.62,89.13,105.13,88.10,Austria
1998,3.33,3.91,2.50,9.74,218.67,304.41,232.11,755.19,13211.61,12456.42,65.57,77.84,92.96,77.52,81.08,64.66,71.67,77.51,73.79,8078.62,19613.08,0.29,0.40,0.31,0.02,0.02,0.02,0.06,0.34,0.40,0.26,0.90,243.07,338.37,258.01,839.45,14685.73,13846.28,72.89,86.53,103.33,86.17,Austria
